
Append DynamicArraySeq
0 2
0 4
0 8
0 16
0 32
0 64
0 128
0 256
0 512
0 1024
1 2048
0 4096
2 8192
5 16384

Prepend DynamicArraySeq
0 2
0 4
0 8
0 16
0 32
0 64
1 128
1 256
6 512
22 1024
87 2048
372 4096
1439 8192
5159 16384

Set DynamicArraySeq
0 2
0 4
0 8
0 16
0 32
0 64
0 128
0 256
0 512
0 1024
0 2048
1 4096
0 8192
1 16384

Append LinkedListSeq
0 2
0 4
0 8
0 16
0 32
0 64
0 128
0 256
0 512
1 1024
0 2048
1 4096
2 8192
3 16384

Prepend LinkedListSeq
0 2
0 4
0 8
0 16
0 32
0 64
0 128
0 256
0 512
0 1024
1 2048
0 4096
3 8192
4 16384

Set LinkedListSeq
0 2
0 4
0 8
0 16
0 32
0 64
0 128
0 256
0 512
0 1024
0 2048
0 4096
1 8192
3 16384
